Quantidade de conexäes,No de ocorrencias
1,9937
2,6971
3,3682
4,2081
5,1273
6,882
7,681
8,505
9,400
10,294
11,238
12,181
13,139
14,135
15,102
16,84
17,65
18,66
19,49
20,48
21,45
22,37
23,33
24,27
25,17
26,17
27,13
28,14
29,15
30,13
31,11
32,13
33,7
34,5
35,5
36,4
37,4
38,6
39,4
40,4
41,3
42,2
43,1
44,1
45,2
46,1
47,2
48,2
49,1
51,1
52,2
53,2
54,1
55,1
56,1
57,1
62,1
63,1
64,1
65,4
66,2
67,1
93,1
94,1
111,1
112,1
113,2
114,2
115,2
116,1
118,1
119,1
120,1
121,3
122,2
124,1
125,2
126,4
127,6
128,3
129,4
130,2
131,1
132,4
133,5
134,6
135,5
136,4
137,3
138,2
139,1
140,3
141,2
142,1
143,4
144,3
145,2
146,2
153,1
154,2
155,1
161,1
162,1
163,2
164,2
165,1
166,1
167,2
168,1
169,1
170,2
171,3
172,3
173,5
174,5
175,3
176,3
177,1
178,1
180,1
181,2
182,1
183,1
184,1
185,1
186,1
187,1
188,2
189,2
190,1
191,2
194,1
195,1
196,1
197,3
198,3
199,3
200,1
201,1
202,3
203,3
204,2
205,1
206,2
207,1
208,1
209,1
210,1
211,2
212,1
213,2
214,3
215,3
216,1
217,2
218,1
219,1
222,2
223,1
224,2
225,3
226,4
227,5
228,2
229,3
230,3
231,1
232,4
233,3
234,7
235,6
236,2
237,1
238,2
239,3
240,2
241,2
242,2
243,2
244,1
245,1
246,2
252,1
253,1
270,1
271,3
272,4
273,1
274,1
275,2
276,2
277,3
278,1
279,1
280,3
281,2
282,3
283,7
284,2
285,3
286,2
287,4
288,4
289,1
290,2
292,1
293,2
294,1
295,3
296,2
297,1
298,1
299,2
300,1
301,2
302,1
303,1
305,1
307,1
311,1
312,1
313,1
314,2
315,2
316,1
319,1
320,1
321,1
323,1
324,2
325,3
326,3
327,3
328,3
329,2
334,1
335,3
336,3
337,2
338,3
339,3
340,2
341,3
343,2
344,2
345,1
346,2
347,4
348,6
349,6
350,5
351,6
352,3
353,3
354,6
355,4
356,6
357,5
358,5
359,2
360,4
361,5
362,6
363,4
364,2
365,4
366,4
367,4
368,4
369,7
370,3
371,1
372,3
373,2
374,2
375,2
376,2
377,1
378,1
379,3
380,4
381,4
382,2
383,4
384,5
385,4
386,2
389,1
390,1
391,2
394,1
395,2
396,1
397,1
398,1
405,1
406,1
410,1
411,1
412,1
413,2
414,1
415,1
416,3
417,2
418,1
419,1
432,1
433,1
434,1
436,1
437,1
438,1
441,1
442,1
443,1
444,1
447,1
448,2
449,2
450,2
451,3
452,2
453,3
454,2
455,3
456,1
458,1
459,2
460,3
461,2
462,1
463,2
464,1
465,1
466,2
467,3
468,3
469,3
470,2
471,3
472,1
473,2
474,3
475,4
476,4
477,1
478,2
479,3
480,1
481,2
482,1
483,2
484,2
485,2
486,4
487,4
488,1
489,2
490,4
491,4
492,5
493,2
494,2
495,3
496,4
497,3
498,3
499,3
500,5
501,3
502,3
503,2
504,1
505,3
506,2
507,3
508,3
509,1
510,2
511,1
512,1
513,1
516,1
517,2
518,2
519,1
523,1
524,1
525,1
526,2
527,1
528,2
529,2
530,3
531,2
532,2
533,2
534,2
535,2
536,3
537,3
538,3
539,3
545,1
546,1
547,1
548,1
549,2
550,2
551,1
556,1
557,1
558,1
559,2
560,4
561,3
562,3
563,2
564,3
565,1
566,2
570,1
580,1
581,1
582,2
583,3
587,1
588,1
589,1
590,2
591,2
592,1
594,1
596,1
597,1
598,2
601,2
602,1
603,3
604,7
605,5
606,7
607,8
608,8
609,8
610,7
611,5
612,3
613,1
614,2
615,3
616,2
617,2
618,3
619,1
620,1
621,2
622,1
624,1
625,1
626,2
627,1
628,2
629,1
630,1
631,2
632,2
633,2
635,1
637,1
638,3
639,3
640,3
641,3
642,3
643,4
644,1
648,1
649,1
650,1
664,1
669,1
671,2
672,4
673,2
674,2
675,1
677,1
678,2
682,1
683,2
684,1
685,2
686,3
687,3
688,4
689,4
690,3
691,4
692,5
693,5
694,7
695,4
696,4
697,2
698,5
699,4
700,5
701,5
702,1
703,3
704,2
705,3
706,3
707,3
709,2
710,2
711,2
712,4
713,5
714,6
715,6
716,5
717,7
718,4
719,3
720,3
721,2
722,3
723,3
724,2
725,2
726,4
727,4
728,4
729,3
730,1
731,3
732,3
733,2
734,2
735,1
736,2
737,1
739,2
741,1
743,1
744,2
745,1
746,1
751,1
752,3
756,1
757,2
759,1
760,1
761,3
762,1
763,2
765,1
769,1
770,1
771,1
775,1
779,1
780,2
781,1
782,3
783,4
784,4
785,4
786,1
789,1
792,1
793,1
797,1
798,2
800,1
801,1
802,1
803,1
808,1
824,1
825,2
850,1
871,1
872,1
873,1
874,3
875,2
876,1
877,3
878,1
879,2
880,5
881,3
882,2
883,3
884,2
885,2
886,2
887,1
888,1
889,1
893,1
894,1
895,1
897,1
898,1
899,1
900,1
901,1
908,1
909,1
910,3
911,2
954,1
955,2
956,3
957,5
958,1
962,2
963,2
964,2
966,2
967,4
968,3
969,2
970,2
971,2
972,2
973,1
975,1
977,2
978,3
979,4
980,2
981,1
982,1
983,2
984,1
985,1
986,1
987,1
988,1
989,3
990,2
991,2
992,2
993,2
994,1
996,2
997,2
998,3
999,3
1000,2
1001,1
1002,1
1005,2
1006,2
1007,3
1008,4
1009,5
1010,2
1011,2
1012,2
1013,4
1014,4
1015,4
1016,2
1017,2
1018,2
1019,1
1020,1
1021,1
1022,1
1023,1
1024,2
1025,2
1026,3
1027,1
1028,1
1040,1
1041,1
1042,1
1047,1
1048,2
1049,2
1050,1
1051,1
1052,1
1053,1
1054,1
1056,1
1057,2
1058,3
1059,2
1060,1
1061,3
1062,3
1063,1
1064,2
1065,2
1066,1
1067,1
1068,1
1069,1
1071,1
1072,2
1075,2
1076,3
1077,2
1078,4
1079,2
1080,1
1081,2
1082,2
1084,1
1085,1
1086,2
1087,3
1088,1
1090,1
1091,3
1092,3
1093,2
1094,2
1095,3
1097,1
1098,1
1099,2
1100,1
1101,1
1104,1
1105,2
1106,1
1107,1
1119,1
1121,1
1123,1
1124,1
1128,1
1129,2
1130,2
1131,1
1132,1
1133,1
1135,1
1136,1
1137,2
1138,2
1143,1
1144,4
1145,6
1146,3
1147,2
1150,1
1151,3
1152,2
1153,1
1154,1
1155,1
1156,1
1157,1
1159,1
1160,2
1161,1
1165,2
1166,1
1169,1
1170,2
1171,2
1172,3
1173,3
1174,3
1175,3
1176,2
1177,2
1178,3
1179,4
1180,2
1181,2
1182,1
1183,1
1184,1
1185,2
1189,1
1190,2
1191,1
1192,3
1193,3
1194,1
1195,1
1196,1
1197,2
1198,2
1199,2
1200,3
1201,4
1202,4
1203,3
1204,3
1205,2
1206,4
1207,5
1208,6
1209,3
1210,5
1211,4
1212,3
1213,5
1214,3
1215,2
1216,2
1217,1
1218,3
1219,2
1220,4
1221,3
1222,3
1223,4
1224,2
1225,3
1226,1
1227,2
1228,2
1229,1
1230,1
1231,1
1232,2
1233,1
1234,1
1239,1
1240,1
1243,1
1244,1
1245,1
1246,1
1247,2
1248,2
1249,1
1251,2
1252,1
1253,3
1255,3
1256,2
1257,4
1258,4
1259,2
1260,2
1261,2
1262,5
1263,5
1264,1
1265,1
1266,1
1267,2
1268,3
1269,1
1270,1
1271,1
1272,1
1273,2
1274,1
1277,1
1282,1
1283,2
1284,3
1285,2
1286,1
1287,2
1290,2
1291,1
1292,3
1293,4
1294,4
1295,3
1296,3
1297,3
1299,1
